"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Post-lift pain free aerobic","Walk","Cycling, incline treadmill, stairmaster, all under 158","1","","2025-12-08","","7395.18994140625","","",""," *08/12/2025 Peter Oehlinger: Stairmaster @85spm Too little fueling. Only 35g/hour. In the end I felt it.* *08/12/2025 Peter Oehlinger: Should have limited it to 60min. I don’t know how I could forget this. Takeaway: limit post strength aerobic work to 60min and do a longer aerobic session 6 hours (or more) later.* *09/12/2025 Anna DeMonte: Make sure you fuel really well tomorrow morning (even a little underfueling Monday can affect the rest of the week!)*","2.00023746490479","1.02699995040894","","84","","138","151","","","0.604330195335673","82.33","112","3","0","0","","","","","","","","","","","","","","","","","6","5"
"Running","Run","","","","2025-12-08","","9801.900390625","","",""," *08/12/2025 Peter Oehlinger: Some more aerobic work. The right knee didn’t hurt throughout the day but I started to feel it during the run and also afterwards it didn’t feel great. It’s a bit surprising because I had a day with no running in between. One reason could be the shoes. I was wearing the Tecton X with the carbon plate. I will stop using them for now.*","1.0409038066864","2.6159999370575","","173","","130","153","","","0.603636847911343","42.08","43","1","0","0","","","","","","","","","","","","","","","","","3","5"
"Pain-free Aerobic","Run","Use 158bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","2","","2025-12-09","","10800","","",""," *09/12/2025 Peter Oehlinger: So tired. Couldn't sleep. Next time if I wake up at 2am I just stay up go for a run in the morning. Afterwards I can try to get some more sleep.*","1.17861111111111","2.54536884279991","","173","","122","147","","","0.602227096391288","37.91","25","0","0","0","","","","","","","","","","","","","","","","","3","9"
"Indoor Cycling","Bike","","","","2025-12-09","","51839.8515625","148","185","772.6"," *09/12/2025 Peter Oehlinger: Unfortunately no time for a two hour session today. In the morning I was just too tired.*","1.50046694278717","9.59700012207031","","83","","120","132","","","0.630015357054923","59.27","5","85","0","0","0","","","","","","5","85","0","0","0","","","","","","3","7"
"Pain-free Aerobic","Walk","Use 158bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.25","","2025-12-10","","8190.0400390625","","",""," *10/12/2025 Peter Oehlinger: Stairmaster 27min @80 93min @85 Fueling: 92g/hour + 2.5l*","2.00077509880066","1.13699996471405","","87","","130","144","","","0.594682487981691","79.74","108","0","0","0","","","","","","","","","","","","","","","","","4","5"
"Post-lift pain free aerobic","Run","Cycling, incline treadmill, stairmaster, all under 158","1.5","","2025-12-11","","13860","","",""," *11/12/2025 Peter Oehlinger: Treadmill @6% incline 12min @9.5km/h 78min @9.2km/h Fueling: 80g/h + 1.5l HR Goal: 130-140*","1.50139951705933","2.56427416970314","","176","","135","144","","","0.597779045748532","60.04","89","0","0","0","","","","","","","","","","","","","","","","","4","5"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-11","","0","","","","","0.0898275002837181","0","","21","","81","104","","","0.543247175952108","2.76","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-12-11","","11838.669921875","","",""," *11/12/2025 Peter Oehlinger: Easy outdoor run. Knees feel good even though I still don’t feel very comfortable running downhill. Need to watch my calfs and shins. Calf raises lead to sore muscles which often results in shin splints. More stretching usually does the trick.*","1.13541078567505","2.89599990844727","","174","","128","145","","","0.600119573757449","45.45","48","0","0","0","","","","","","","","","","","","","","","","","3","5"
"Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.75","","2025-12-12","","11101.1396484375","","",""," *12/12/2025 Peter Oehlinger: Stairmaster 5min @80 175min @85 Fueling: 104g/h + 0.75l/h I don’t know if it’s lack of water or too little fueling but when I got back home from the gym I was feeling dizzy. I always eat a lot after training so things settle again but not sure if that’s ideal.*","3.00274658203125","1.02699995040894","","84","","128","141","","","0.592428730279191","120","145","0","0","0","","","","","","","","","","","","","","","","","5","3"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-12","","0","","","","","0.125683337450027","0","","22","","80","88","","","0.533951958042197","3.76","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - Knee safe","Run","Long run if your knee is not aggravated at all. Lets stay in touch this week to make sure we go into this confident that your knee isn't going to be pesky.","3.25","","2025-12-13","","33557.5703125","","",""," *13/12/2025 Peter Oehlinger: Fueling: 115g/hour + 2.25l Ignore Max HR as my HRM was not reporting correct values in the beginning (way too high). Was not feeling at my best in the beginning and couldn’t push the pace too much. In the end I was feeling much more energized. Knees: feeling really good. Also on the long downhill. In the end and also afterwards I felt my patella on both sides but more on the left. So this is something new but something I have experienced in the past. It’s not pain it’s more like tightness. Lot’s of breaks today. Needed to stop 3-4 times due to GI issues. Then I stopped a couple of times for taking pictures. It was just too beautiful. The question is how much I of the training effect am I losing because of it?*","3.25054335594177","2.86800003051758","","174","","136","161","","","0.618889214446908","142.05","117","40","0","0","","","","","","","","","","","","","","","","","4","5"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-13","","0","","","","","0.125038057565689","0","","20","","65","75","","","0.534099733866938","3.75","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2025-12-14","","5915.14990234375","","",""," *14/12/2025 Peter Oehlinger: Stairmaster @80spm This feels super easy but I was so tired. Just couldn’t sleep last night. Need to be a bit careful not to get sick. My fiancé is sick right now. Fueling: 100g/hour + 1.5l*","1.50032520294189","1.09500002861023","","102","","117","128","","","0.596014021465851","59.66","4","0","0","0","","","","","","","","","","","","","","","","","2","7"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-14","","0","","","","","0.125616952776909","0","","21","","96","112","","","0.578645650443555","4.42","","","","","","","","","","","","","","","","","","","","","",""
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-15","","0","","","","","0.125955551862717","0","","23","","82","89","","","0.53405537510289","3.78","","","","","","","","","","","","","","","","","","","","","",""
"Post-lift pain free aerobic","Walk","Cycling, incline treadmill, stairmaster, all under 158","1.25","","2025-12-15","","4579.080078125","","",""," *15/12/2025 Peter Oehlinger: Stairmaster @85spm Fueling: 100g/h + 1.25l*","1.25053417682648","1.01699995994568","","83","","128","141","","","0.59923081833949","50.02","60","0","0","0","","","","","","","","","","","","","","","","","4","5"
"Running","Run","","","","2025-12-15","","18204.2890625","","",""," *15/12/2025 Peter Oehlinger: Rolled my ankle pretty bad. It was getting dark earlier than I expected. I already decided to exit the forest but it happened on the last couple of hundred meters. I was able to continue on the road, even quite fast. Don’t know why I pushed though. Doesn’t feel great right now but also not too bad. Fueling: 62g/h + 1l* *15/12/2025 Peter Oehlinger: *left ankle*","1.79907977581024","2.81100010871887","","176","","139","160","","","","84.45","47","41","0","0","","","","","","","","","","","","","","","","","5","5"
"Run (pain free only)","Run","Use 158bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","2","","2025-12-16","","13800","","",""," *16/12/2025 Peter Oehlinger: Treadmill: 9.2km/h @6%* *16/12/2025 Peter Oehlinger: Fueling: 100g/h Ankle wasn‘t feeling great but I also didn‘t feel actual pain. I ran with my feet wider apart which eased the load on the outside of the ankle a bit.*","1.50114822387695","2.55360081860081","","179","","138","149","","","0.60178898502465","60.84","88","0","0","0","","","","","","","","","","","","","","","","","4","5"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-16","","0","","","","","0.125484436750412","0","","23","","88","98","","","0.535014550054476","3.78","","","","","","","","","","","","","","","","","","","","","",""
"Stairmaster","Walk","","","","2025-12-16","","3804.78002929688","","",""," *16/12/2025 Peter Oehlinger: Stairmaster @85 Fueling: 50g*","1.01749467849731","1.03900003433228","","85","","138","145","","","0.600770950573287","40.7","61","0","0","0","","","","","","","","","","","","","","","","","4","7"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-17","","0","","","","","0.12620222568512","0","","21","","78","89","","","0.533908586284418","3.79","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2025-12-17","","8047.91015625","","",""," *17/12/2025 Peter Oehlinger: Stairmaster 97min @90spm 26min @85spm* *17/12/2025 Peter Oehlinger: Fueling: 54g/h 1.5l*","2.05283141136169","1.08899998664856","","89","","139","150","","","0.603504250363249","84.33","117","2","0","0","","","","","","","","","","","","","","","","","5","5"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-18","","0","","","","","0.125713050365448","0","","24","","91","102","","","0.552710335162499","4.04","","","","","","","","","","","","","","","","","","","","","",""
"Post-lift pain free aerobic","Walk","Cycling, incline treadmill, stairmaster, all under 158","1.25","","2025-12-18","","4395.5498046875","","",""," *18/12/2025 Peter Oehlinger: Stairmaster @80spm This is easy but I think exactly what we want directly after strength training. Fueling: 65g/h + 0.75l*","1.25065803527832","0.976000010967255","","80","","123","132","","","0.5989812033049","49.98","25","0","0","0","","","","","","","","","","","","","","","","","2","5"
"Treadmill Running","Run","","","","2025-12-18","","13000","","",""," *18/12/2025 Peter Oehlinger: Treadmill Lap 1: 4km @15% Lap 2: 7km @1.5% Lap 3: 2km @18% Fueling: 78g + 0.75l Knee: no pain at all, patella is the only thing I feel a bit Ankle: no pain at all, still a bit swollen Other: right calf and left hamstring are a bit sore from the strength session* *19/12/2025 Anna DeMonte: careful of going too close/over lt1! This run was actually pretty close to lt1 the entire time (avg 152). just make sure to watch that!* *19/12/2025 Peter Oehlinger: I thought staying just below is fine when I feel good? I just crossed lt1 when I reduced the slope and increased the speed. Did it the wrong way round. But I agree the entire time I was quite close to lt1 but this was on purpose.*","1.45275521278381","2.48569826446631","","176","","152","161","","","0.70540576999155","80.85","4","82","0","0","","","","","","","","","","","","","","","","","5","5"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-19","","0","","","","","0.125096946954727","0","","22","","78","88","","","0.534099733866938","3.75","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2025-12-19","","5624.419921875","","",""," *19/12/2025 Peter Oehlinger: Fueling: 139g/h + 1.5l Overfueled as I planed to go longer but didn't feel great (not bad just a bit tired). Focus is on tomorrow's long run.*","1.50054836273193","1.04100000858307","","85","","126","136","","","0.597839872296901","60.01","64","0","0","0","","","","","","","","","","","","","","","","","4","7"
"Long Run - Knee safe","Run","Long run if your knee is not aggravated at all. Lets stay in touch this week to make sure we go into this confident that your knee isn't going to be pesky.","3.5","","2025-12-20","","38549.421875","","",""," *20/12/2025 Peter Oehlinger: This was a really cool long run. 😊 Fueling: 110g/h + 1l definitely to little water. Would much rather have two liters. Knee: No side knee pain at all. If I pay attention I still feel that it’s not completely gone but I did two really long downhills and there was no pain at all. The patella is a different story. I started to feel some pain 2-3/10 on the very last downhill. The good thing it appeared a bit later than last week but definitely something to watch. Ankle: was running on the trails and even though I need to be extra cautious right now I didn’t feel any pain. More time needed until it’s fully back to normal. Calfs: always a bit sore after Thursday. First signs of shin splints emerging. Maybe it would be good to include some preventative exercises given my history with shin splints.* *21/12/2025 Peter Oehlinger: Francesco Puppi did a very similar run (distance, elevation, HR) that same day. Took him 3h 21min. Nothing I care about right now but I still like to compare my times to the best.*","3.97649431228638","2.69300007820129","","174","","142","161","","","0.641680934478903","187.76","131","96","0","0","","","","","","","","","","","","","","","","","6","5"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-20","","0","","","","","0.083638608455658","0","","","","66","75","","","0.536969567255781","2.51","","","","","","","","","","","","","","","","","","","","","",""
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-21","","0","","","","","0.0833805575966835","0","","","","64","72","","","0.536813590475202","2.5","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2025-12-21","","17687.869140625","","",""," *21/12/2025 Peter Oehlinger: Mostly flat running on the road. I was running with friends that’s why HR was quite low but I think/hope still ok? It was a good test for how the knee feels after the long run yesterday. I felt the right knee a little bit 4-6k into the run. So it’s still there but again a big improvement from last week I would say. Patella was no issue at all. Calfs still sore and signs of shin splints there but did not get worse. Fueling: ~60g/h + 0.5l*","1.68626272678375","2.91400003433228","","175","","121","150","","","0.597671765142419","67.61","29","0","0","0","","","","","","","","","","","","","","","","","2","5"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-22","","0","","","","","0.126870825886726","0","","23","","81","88","","","0.534011312785845","3.8","","","","","","","","","","","","","","","","","","","","","",""
"Post-lift pain free aerobic","Walk","Cycling, incline treadmill, stairmaster, all under 158","1.25","","2025-12-22","","4629.0400390625","","","","","1.25009775161743","1.02900004386902","","84","","124","134","","","0.599069377064275","49.98","39","0","0","0","","","","","","","","","","","","","","","","","2","5"
"Indoor Rowing","Rowing","","","","2025-12-22","","0","","","","","0.0836383327841759","0","","24","","77","84","","","0.536969567255781","2.51","","","","","","","","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2025-12-22","","22000","","",""," *22/12/2025 Peter Oehlinger: Lap 1 & 2 (90min total) @5% 10km/h 6min/km Lap 3: 60min @10% 7km/h 8:34min/km Fueling: 62g/h + 1.5l Felt the right knee a bit. No pain just some form of tightness.*","2.5003662109375","2.44408642397218","","174","","138","146","","","0.595329601777876","100.44","146","0","0","0","","","","","","","","","","","","","","","","","5","5"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.0833333333333333","","2025-12-23","","0","","","","","0.0856830626726151","0","","22","","80","97","","","0.540422339685418","2.61","","","","","","","","","","","","","","","","","","","","","",""
"2 hour aerobic","Walk","Under 158bpm","2","","2025-12-23","","7086.10986328125","","",""," *23/12/2025 Peter Oehlinger: Sleep issues. Extremely tired today. Stairmaster @80spm Fueling: 72g/h + 1.5l* *23/12/2025 Peter Oehlinger: Felt the ankle and knee in the morning and moved to the stairmaster instead of running. I think it was plenty of back to back running over the last couple of days.* *26/12/2025 Anna DeMonte: Glad you moved it to Stairmaster. Lets keep making these adjustments as we watch your knee+ankle*","2.00016689300537","0.984000027179718","","80","","125","136","","","0.595618029680374","79.97","72","0","0","0","","","","","","","","","","","","","","","","","4","9"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-24","","0","","","","","0.0834375023841858","0","","49","","62","67","","","0.536656421692147","2.49","","","","","","","","","","","","","","","","","","","","","",""
"Run (w/ Strides)","Run","Returning to run with strides in preparation for coming blocks We're going to be doing strides a couple times per week. To be done immediately after the run. These are not sprints. Overall Scheme 6 reps 20 seconds 1-2 minutes easy recovery in between https://www.youtube.com/watch?v=SuSA9t0wM1Y Important Points Ease into these. Spend the first five seconds slowly come up onto pace. Run tall through the hips, with a slight forward lean Use long-distance form, with normal arm carriage and a relaxed upper body. No excessive arm drive like you would have running a 100m race. Stride should be like you are running a mile-5K. Instead of increasing cadence as high as you can go, emphasize knee drive and output-per-stride at a smooth effort. Let me know if you have any questions","1.56666666666667","","2025-12-24","","14371.0595703125","","","","","1.60062420368195","2.49399995803833","","171","","122","152","","","0.598271897964029","64.24","41","1","0","0","","","","","","","","","","","","","","","","","3","7"
"Running","Run","","","","2025-12-24","","8746.73046875","","","","","0.772492229938507","3.14499998092651","","177","","128","145","","","0.60285946802687","30.9","34","0","0","0","","","","","","","","","","","","","","","","","",""
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.125","","2025-12-25","","0","","","","","0.0644591674208641","0","","","","62","69","","","0.538773260538746","1.94","","","","","","","","","","","","","","","","","","","","","",""
"Post-lift pain free aerobic","Walk","Cycling, incline treadmill, stairmaster, all under 158","1.25","","2025-12-25","","3972.56005859375","","",""," *25/12/2025 Peter Oehlinger: Tired but happy to have managed a couple of hours over the last two days. Fueling: 36g/h + 0.5l* *25/12/2025 Peter Oehlinger: Stairmaster @85spm*","1.25046992301941","0.882000029087067","","78","","118","129","","","0.597148700838627","49.67","3","0","0","0","","","","","","","","","","","","","","","","","2","5"
"Running","Run","","","","2025-12-25","","9503.73046875","","","","","0.940329730510712","2.80699992179871","","177","","113","133","","","0.599018783568842","37.32","3","0","0","0","","","","","","","","","","","","","","","","","",""
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.0833333333333333","","2025-12-26","","0","","","","","0.0587255544960499","0","","","","69","77","","","0.539435739482046","1.76","","","","","","","","","","","","","","","","","","","","","",""
"Run (w/ Strides)","Run","Returning to run with strides in preparation for coming blocks We're going to be doing strides a couple times per week. To be done immediately after the run. These are not sprints. Overall Scheme 6 reps 20 seconds 1-2 minutes easy recovery in between https://www.youtube.com/watch?v=SuSA9t0wM1Y Important Points Ease into these. Spend the first five seconds slowly come up onto pace. Run tall through the hips, with a slight forward lean Use long-distance form, with normal arm carriage and a relaxed upper body. No excessive arm drive like you would have running a 100m race. Stride should be like you are running a mile-5K. Instead of increasing cadence as high as you can go, emphasize knee drive and output-per-stride at a smooth effort. Let me know if you have any questions","1.56666666666667","","2025-12-26","","20377.609375","","",""," *26/12/2025 Peter Oehlinger: Road. Flat. No issues with knee or ankle. Fueling: 35g/h*","1.54315078258514","3.66799998283386","","179","","140","168","","","0.616974816823521","65.79","82","5","2","0","","","","","","","","","","","","","","","","","5","5"
